Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank
"7 Av (F,G)",,B,"3,700,321","3,623,053","3,572,223","3,675,218","1,314,989","1,694,473","379,484",28.90%,139
71 St (D),,B,"2,029,479","1,854,361","1,746,966","1,722,921","721,711","788,730","67,019",9.30%,287
77 St (R),,B,"1,743,795","1,980,011","1,676,402","1,674,582","700,333","839,021","138,688",19.80%,276
79 St (D),,B,"2,137,349","2,032,937","1,901,043","1,926,290","816,330","964,785","148,455",18.20%,246
8 Av (N),,B,"4,586,559","4,088,721","3,700,661","3,801,700","1,424,892","1,771,913","347,021",24.40%,130
86 St. (N),10,B,"419,039","494,456","609,555","708,542","365,213","442,826","77,613",21.30%,373
86 St. (R),,B,"3,752,400","3,516,712","3,470,741","3,434,888","1,538,353","1,869,595","331,242",21.50%,120
9 Av (D),,B,"1,858,368","1,737,192","1,667,200","1,708,387","807,970","926,924","118,954",14.70%,256
Alabama Av (J),,B,"834,945","755,935","652,030","628,299","337,011","367,463","30,452",9.00%,394
Atlantic Av (L),,B,"436,300","557,103","559,411","469,819","228,515","273,703","45,188",19.80%,406
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",11,B,"13,818,168","13,571,093","13,807,282","13,939,794","5,474,265","6,420,924","946,659",17.30%,13
Avenue H (Q),,B,"952,855","1,006,747","1,034,018","991,766","395,439","420,875","25,436",6.40%,381
Avenue I (F),12,B,"585,217","326,469","326,005","584,129","262,583","286,430","23,847",9.10%,403
Avenue J (Q),,B,"1,867,727","1,912,497","1,878,547","1,775,846","799,621","973,093","173,472",21.70%,245
Avenue M (Q),,B,"1,776,762","1,828,941","1,808,189","1,691,285","763,258","956,834","193,576",25.40%,249
Avenue N (F),13,B,"941,921","643,200","612,201","877,383","393,183","416,424","23,241",5.90%,383
Avenue P (F),14,B,"809,816","534,727","509,036","739,804","333,836","361,909","28,073",8.40%,397
Avenue U (F),15,B,"772,331","373,322","310,821","547,776","248,310","268,720","20,410",8.20%,407
Avenue U (N),16,B,"456,533","734,714","830,278","1,019,104","503,937","659,430","155,493",30.90%,321
Avenue U (Q),,B,"2,332,985","2,360,833","2,329,614","2,301,941","979,080","1,194,190","215,110",22.00%,204
Avenue X (F),17,B,"727,220","738,274","775,436","758,700","334,714","345,053","10,339",3.10%,398
Bay 50 St (D),,B,"972,937","900,508","826,074","821,873","351,591","431,849","80,258",22.80%,376
Bay Pkwy (D),,B,"2,578,524","2,502,105","2,435,949","2,446,673","1,086,573","1,198,845","112,272",10.30%,201
Bay Pkwy (F),18,B,"406,793","214,153","188,225","362,802","167,877","186,383","18,506",11.00%,414
Bay Pkwy (N),,B,"3,435,240","2,950,253","2,266,916","2,071,452","940,309","1,204,285","263,976",28.10%,198
Bay Ridge Av (R),19,B,"2,622,438","1,282,256","2,228,497","2,354,120","1,023,374","1,248,115","224,741",22.00%,190
Bay Ridge-95 St (R),,B,"1,853,049","1,755,379","1,739,178","1,743,441","740,055","840,527","100,472",13.60%,275
Bedford Av (L),,B,"9,688,560","9,644,831","9,053,980","7,836,366","2,873,798","4,989,268","2,115,470",73.60%,24
Bedford-Nostrand Avs (G),,B,"2,697,942","2,779,124","2,774,993","2,795,387","1,062,724","1,400,855","338,131",31.80%,173
"Bergen St (2,3)",,B,"1,231,084","1,180,684","1,140,677","1,208,319","435,520","525,186","89,666",20.60%,354
"Bergen St (F,G)",,B,"3,599,389","3,525,144","3,478,946","3,577,496","1,240,354","1,602,668","362,314",29.20%,149
Beverley Rd (Q),,B,"953,903","1,038,252","1,060,568","1,048,249","453,974","567,370","113,396",25.00%,343
"Beverly Rd (2,5)",,B,"1,379,958","1,348,244","1,307,405","1,284,232","607,427","690,326","82,899",13.60%,311
"Brighton Beach (B,Q)",,B,"4,044,514","3,957,811","3,778,194","3,745,994","1,683,782","1,947,393","263,611",15.70%,114
Broadway (G),,B,"1,397,227","1,385,797","1,402,102","1,506,905","728,238","868,771","140,533",19.30%,269
"Broadway Junction (A,C,J,L,Z)",,B,"3,085,401","2,911,532","2,810,636","2,759,349","1,292,868","1,317,906","25,038",1.90%,185
Bushwick Av-Aberdeen St (L),,B,"672,880","682,086","671,545","600,188","298,031","418,114","120,083",40.30%,382
Canarsie-Rockaway Pkwy (L),,B,"3,897,784","3,828,628","3,598,843","3,302,691","1,306,173","1,062,745","-243,428",-18.60%,229
"Carroll St (F,G)",,B,"3,563,150","3,537,661","3,490,924","3,615,019","1,261,245","1,605,517","344,272",27.30%,146
Central Av (M),20,B,"1,158,274","539,681","725,022","1,472,067","591,081","613,375","22,294",3.80%,332
"Chauncey St (J,Z)",,B,"1,092,483","1,095,638","1,063,828","1,076,510","479,409","526,390","46,981",9.80%,353
"Church Av (2,5)",,B,"3,027,658","2,916,680","2,818,535","2,862,033","1,335,645","1,537,560","201,915",15.10%,159
"Church Av (B,Q)",,B,"5,438,775","5,455,527","5,161,293","5,061,013","2,181,585","2,569,628","388,043",17.80%,74
"Church Av (F,G)",21,B,"3,315,387","3,148,411","3,099,383","3,051,736","1,368,063","1,579,762","211,699",15.50%,153
"Clark St (2,3)",,B,"2,000,024","1,631,139","1,550,414","1,781,419","589,682","667,841","78,159",13.30%,319
Classon Av (G),,B,"1,581,663","1,585,121","1,649,340","1,722,852","667,262","895,280","228,018",34.20%,262
Cleveland St (J),,B,"1,104,683","1,011,734","901,928","880,879","436,011","451,537","15,526",3.60%,371
Clinton-Washington Avs (C),,B,"2,152,345","2,201,880","2,178,439","2,144,338","724,726","916,121","191,395",26.40%,257
Clinton-Washington Avs (G),,B,"1,656,058","1,551,042","1,534,802","1,609,332","574,939","787,190","212,251",36.90%,288
"Coney Island-Stillwell Av (D,F,N,Q)",,B,"5,025,598","4,803,755","4,615,664","4,579,191","1,838,369","2,288,692","450,323",24.50%,87
Cortelyou Rd (Q),,B,"1,978,254","2,028,859","1,994,734","1,957,538","835,380","1,023,916","188,536",22.60%,237
"Court St (R)/Borough Hall (2,3,4,5)",,B,"11,080,334","10,693,598","10,364,534","10,135,722","3,356,706","3,728,044","371,338",11.10%,40
"Crescent St (J,Z)",,B,"1,617,730","1,570,485","1,467,166","1,391,945","677,801","739,465","61,664",9.10%,301
"Crown Heights-Utica Av (3,4)",,B,"9,051,970","8,954,499","7,920,192","7,933,008","3,654,953","3,936,420","281,467",7.70%,37
Cypress Hills (J),,B,"462,143","435,855","411,331","420,647","222,325","247,051","24,726",11.10%,410
"DeKalb Av (B,Q,R)",,B,"5,640,329","6,551,184","6,776,248","6,708,640","2,419,410","2,878,314","458,904",19.00%,63
DeKalb Av (L),,B,"4,017,076","4,171,610","4,000,252","3,290,894","1,541,784","2,155,743","613,959",39.80%,96
Ditmas Av (F),22,B,"1,055,185","1,137,998","1,149,528","1,177,275","538,215","612,635","74,420",13.80%,334
East 105 St (L),,B,"1,201,578","1,201,452","1,139,556","1,001,343","477,302","479,124","1,822",0.40%,363
"Eastern Pkwy-Brooklyn Museum (2,3)",,B,"1,585,048","1,530,635","1,544,013","1,338,351","441,688","681,607","239,919",54.30%,313
"Euclid Av (A,C)",,B,"3,458,027","3,415,739","3,174,827","3,240,578","1,537,226","1,547,409","10,183",0.70%,157
"Flatbush Av-Brooklyn College (2,5)",,B,"6,321,530","6,107,780","5,822,873","5,684,108","2,404,776","2,587,148","182,372",7.60%,73
Flushing Av (G),,B,"877,269","849,840","874,498","732,897","402,100","558,413","156,313",38.90%,345
"Flushing Av (J,M)",,B,"2,894,033","2,764,583","2,537,390","2,773,154","1,256,788","1,372,156","115,368",9.20%,178
Fort Hamilton Pkwy (D),,B,"1,349,733","1,273,516","1,191,580","1,207,971","614,581","731,471","116,890",19.00%,303
"Fort Hamilton Pkwy (F,G)",,B,"1,845,401","1,786,458","1,765,887","1,800,167","633,055","817,620","184,565",29.20%,282
Fort Hamilton Pkwy (N),23,B,"554,051","988,664","969,878","1,372,278","780,316","996,284","215,968",27.70%,240
"Franklin Av (2,3,4,5)/Botanic Garden (S)",,B,"5,010,984","4,762,184","4,604,219","4,999,385","1,849,090","2,137,307","288,217",15.60%,98
"Franklin Av (C,S)",,B,"2,056,281","2,058,258","2,051,171","1,977,940","781,552","874,945","93,393",11.90%,268
Fulton St (G),,B,"1,639,930","1,698,778","1,745,439","1,768,601","743,347","973,973","230,626",31.00%,244
